course_id,info,sources
CPCS-204,"المادة تركيزها نظري أكثر من كونها عملية مقارنة بمواد البرمجة السابقة. تشرح طرق تخزين البيانات داخل البرامج، وكيف تختار أنسب طريقة حسب نوع المشكلة أو السؤال. تهتم بتحليل الكفاءة، وتنظيم البيانات، وفهم أي الأساليب أفضل من ناحية الأداء واستهلاك الذاكرة. المادة مهمة لبناء تفكير برمجي صحيح قبل كتابة الكود. || || عدد ساعات المادة: 3 ساعات",النظري: ||  - د. عبير || https://t.me/joinchat/swuspkDbC5M4OWFk || د. آصف || https://drive.google.com/drive/folders/1YDfKP4rX2VdjBtp22_StUstflE6jaKRN || د. محمد رمضان || https://drive.google.com/drive/folders/1OSV70pIrGnwll6-TeJeXRDpakL8gCBac || العملي || شرح الالبات || https://www.youtube.com/playlist?list=PLGFGof_ECfMaCBl8rNebxW3JeI6yjtFf9 || درايف الطالب || https://drive.google.com/drive/folders/1rwIuTF8HBfePPbZdVyXZ-yC74Zcqgc2R || درايف 23 || https://drive.google.com/drive/folders/11Y042RQcMoZsabzs6G0mclAL17N6e7zf || درايف 22 || https://drive.google.com/drive/folders/1SjGxbSvXO8_tTJjC3VVVKo_qSj5ehuTL
CPCS-241,"مادة قواعد البيانات تشرح المفاهيم الأساسية لقواعد البيانات بشكل عام، وكيفية تصميمها بطريقة صحيحة. تبدأ بفهم ER Diagram والعلاقات بين الجداول، وبعدها تنتقل لكتابة أوامر SQL للتعامل مع البيانات مثل الإدخال، التعديل، الحذف، والاستعلام. المادة تربط بين التصميم النظري والتطبيق العملي، وتعتبر أساس مهم لأي طالب بيتعامل مع الأنظمة والتطبيقات اللي تعتمد على البيانات. (مثل هذا البوت😊) || ||عدد ساعات المادة: 3 ساعات",• د.منار || https://t.me/databasemanar || • د.أمل || https://t.me/+J2zt2CrOeZ5iODU0 || • الدسوقي || https://youtube.com/playlist?list=PL37D52B7714788190&si=KQ2UBt0eJWO40myT || Giraffe Academy عملي• || https://youtube.com/playlist?list=PLLAZ4kZ9dFpMGXTKXsBM_ZNpJwowfsP49&si=bybLyiZU3qpQyoB || • عملي أسماء || https://t.me/joinchat/tZs3hkjm0g0yMDc8 || • درايف 23 || https://drive.google.com/drive/folders/1f89HpqRzJuru96GXXNW-kHow4gbNVOaV || • درايف 22 || https://drive.google.com/drive/folders/10fdFwsEUge7o7DWWjF4taGytiYDm-g19 || • درايف الطالب || https://drive.google.com/drive/folders/1s6pZBZqvPi-GOCkP8_UpBwizVl33qeMF
CPCS-223,"مادة الخوارزميات تعتبر امتداد وتعمّق لما تم أخذه في برمجة 3، لكنها تركّز بشكل أساسي على تحليل الخوارزميات بدل كتابة الكود فقط. تشرح طرق تصميم الخوارزميات (Algorithms / Methods) وكيفية تقييمها من ناحية السرعة واستهلاك الوقت والموارد. يتم التركيز على تحليل التعقيد باستخدام Big-O و Omega و Theta، مع استخدام الرموز الرياضية مثل Σ (سيجما) لفهم الأداء بشكل أدق. المادة تساعدك تختار الحل الأفضل للمشكلة بدل الاكتفاء بحل يعمل فقط. || عدد ساعات المادة: 3 ساعات",• شروحات د.هاجر +حنان || https://t.me/+LT_i8B0lDWo3MGI0 || • د.عمير || https://t.me/joinchat/R_-G0YkWKzTehqdk || • شرح – ممتاز للميد || https://youtube.com/playlist?list=PLCZPUiJ5kQaHQG9LN3WjxxUmCOKV_heOF&si= || S5u3HONSvhYYTLlA || • شروحات من جامعة جدة || https://youtube.com/playlist?list=PL8eLjCQGlh6SAMMYdB3KY6RNUKbKoOhJh || • شروحات من الجامعة اإلسالمية || https://youtube.com/playlist?list=PL9fwy3NUQKwa6f1e0rrpmQUpME6Sm7ODv || • عبدالباري || https://youtube.com/playlist?list=PLDN4rrl48XKpZkf03iYFlO29szjTrs_O&si=2rK6LuDcXfUaBUkQ || • درايف 23 || https://drive.google.com/drive/folders/1LWHssCifKFWVlRM-Q0mhQa7ou6KcHnxt || • درايف 22 || https://drive.google.com/drive/folders/1gZ7vdpEds7CIjvUMvkeCD7Sh8h6nov9E || • درايف الطالب || https://drive.google.com/drive/folders/13sso1PF57Ii9gVH47Kyu5lfYuRxxNB3A
 CPCS-301,"مادة لغات البرمجة تركز على فهم لغات البرمجة من منظور تحليلي وليس فقط استخدامها. تناقش لماذا ندرس أكثر من لغة برمجة، وكيف يتم تقييم لغات البرمجة من حيث السهولة، الكفاءة، والمرونة. تتطرق لكيفية تصميم اللغة نفسها، مثل Syntax و Semantics، وأنواع لغات البرمجة، ونماذج التنفيذ المختلفة. المادة توسّع فهمك للتفكير البرمجي وتساعدك تتأقلم بسرعة مع أي لغة جديدة في المستقبل. || عدد ساعات المادة: 3 ساعات",• د.رانيا || https://t.me/+WKp31cak5Gc1NGE0 || • عملي تهاني || https://t.me/joinchat/_ZdMTNu7HLE1ODJk || • درايف 23 || https://drive.google.com/drive/folders/1Fy6Ehem7Lwv6x_RJEkeblxFbb4tBuOXF || • درايف 22 || https://drive.google.com/drive/folders/1-VJhZi-vs45qub_AjUcnO-48qpg_pqj0 || • درايف الطالب || https://drive.google.com/drive/folders/1NQD9RQgddeTI-r16NikBDnCN7hvJmb3j
CPCS-214,"مادة بنيان الحاسب تعتبر امتداد لمادة CPCS 211، وتركّز على فهم البنية الداخلية للحاسب بشكل أعمق. تشرح Logic Gates وكيف يتم استخدامها لبناء الدوائر الرقمية، ثم تنتقل لشرح كيفية عمل المعالج (CPU) من الداخل، مثل وحدة التحكم، وحدة الحساب والمنطق، والسجلات. كما توضح كيف يمكن بناء معالج بسيط من الصفر خطوة بخطوة لفهم دورة تنفيذ الأوامر. المادة مهمة لفهم ما يحدث خلف الكود البرمجي وكيف يتعامل الهاردوير مع التعليمات. || عدد ساعات المادة: 3 ساعات",• الكتاب || https://drive.google.com/file/d/1fbNEGoTmfgfUsw5jEMmYQdObphK5yxrk/view?usp=drive_li || nk || • قناة تليجرام || https://t.me/joinchat/8ZCyxruirnw4Mzlk || • د.غسان ام القرى || https://youtube.com/playlist?list=PLGqb1w5WKZITfAcpt_q8oUYb1yHtFEgeU || • احمد فتحي || https://youtube.com/playlist?list=PLQkyODvJ8ywv5YjAQ2uC550ZP1ZCIP4yn || • نتالي || https://youtube.com/playlist?list=PLjiyR6nPcbxzv1MHhyxJqXIOyZ8c1Or_D || • اختبارات قديمة البترول || https://faculty.kfupm.edu.sa/COE/mudawar/coe301/201/index.htm || • احمد || https://youtube.com/playlist?list=PLx4bx4MMxLANj6SS0uPlj17BPaXiv61ZR&si=t6DjBkiV3H || 6z_iE5 || • عملي نجود || https://t.me/joinchat/JlOW8KnxqwRiZGFk || • شرح اسمبلي || https://youtube.com/playlist?list=PL5b07qlmA3P6zUdDf-o97ddfpvPFuNa5A&si=Nm0fVp2UqnRYctA || • درايف 23 || https://drive.google.com/drive/folders/1VofUe_1qRC2ROxPmI_F7qjdwiSexgxnd || • درايف 22 || https://drive.google.com/drive/folders/1-UBfoiiVKE3JcfPCXNxx-7U_pkiXwYCQ || • درايف الطالب || https://drive.google.com/drive/folders/1TZu5EogFItySGb3abrfcNs5VekqstQrs
CPCS-211,"مادة Logic تركز على أساسيات المنطق الرقمي وبناء الدوائر الرقمية. تشرح Logic Gates وكيفية استخدامها، بالإضافة إلى مواضيع متقدمة مثل Registers، و K-Maps (خرائط كارنوف) لتبسيط الدوائر المنطقية، ودوائر التجميع والتتابع. المادة تساعدك تفهم كيف يتم تمثيل البيانات ومعالجتها على مستوى الهاردوير، وهي أساس مهم لمواد مثل بنيان الحاسب والأنظمة الرقمية. || || عددد ساعات المادة: 3 ساعات",▪ د. ليلى || https://t.me/joinchat/5Q6S0EmN9sczNjY8 || ▪ د. ندى || https://t.me/+gLIIyKxVyp4yODY0 || ▪ نتالي || https://youtube.com/playlist?list=PLjiyR6nPcbxy_nbEQHBj5MwGicZRTRM_w || ▪ قناة SoftwareTube || https://youtube.com/playlist?list=PLTr1xN4uMK5s4VmV3T9VJAaHmuCP8Z7vw& || si=7dRhZaJpHuN8FqnB || ▪ قناة Zahi || https://youtube.com/playlist?list=PL21KuaIMCPGoiDogGSxbBtnkmBMM_- || 6o3&si=WN-Vvy12GxdtTLnY || ▪ قناة Neso || https://www.youtube.com/playlist?list=PLBlnK6fEyqRjMH3mWf6kwqiTbT798eA || Om || ▪ درايف || https://drive.google.com/drive/folders/10Weqjp6BtoajlvnnZaQ-CFoEWixXduP8 || ▪ درايف 23 || https://drive.google.com/drive/folders/1-53imSCDl_NvmzaI6YAHFjagST3fd5OV || ▪ درايف 22 || https://drive.google.com/drive/folders/10TeUuFFmXkTe7C5MPoW7jM9i5yCyUMrt
CPCS-212,"مادة ماتلاب تركز على تطبيق الرياضيات بشكل عملي باستخدام لغة MATLAB. تهدف إلى حل المعادلات والمشاكل الرياضية عن طريق البرمجة بدل الطرق اليدوية التقليدية. يتم شرح إيجاد جذور الدوال (نقاط تقاطع الدالة مع محور x عند الصفر) باستخدام أكثر من Method، مع توضيح الفرق بينها من حيث الدقة والسرعة. كذلك تشمل المادة الاشتقاق والتكامل باستخدام ماتلاب، مما يساعد على التعامل مع مسائل رياضية معقدة بطريقة أسرع وأسهل.|| || عدد ساعات المادة: 3 ساعات",▪ د. سناء شرف || https://m.youtube.com/playlist?list=PLCNxJQKQ6tFXtnffqGwUDoScask1P9Hjt || ▪ الب د. نهى || https://youtube.com/playlist?list=PLCNxJQKQ6tFX4XIucX_rgXsL3wxmBTxOc&si || =QSOU21uWBzAfN0eX || ▪ الالبات مع الحل || https://drive.google.com/drive/folders/1h0cEkiY14Xz6fRBsNj5qv1pAL23C2oti || ▪ درايف 23 || https://drive.google.com/drive/folders/1- || 5SP517wgQm8EAUxGqHZBL5Az3uK2hYm || ▪ درايف 22 || https://drive.google.com/drive/folders/10Ut2A_Nvi-Qgt1JQT0gjfuRXMN5FcIw7
CHEM-202,,▪ د. نحاء || https://t.me/+pOP1oji3Enc4OGI0 || ▪ د. قنا السلمي || https://t.me/joinchat/qWcWBumHyJhjMmZk || ▪ شرح سالم باواكد || https://drive.google.com/drive/folders/1_HWHLrn1GpUSSDdirzucr2jOCvoNCxM || B || ▪ الكويزات || https://drive.google.com/drive/mobile/folders/18Sb94eQIXij9JjvGXOGaYNIXVOE || ll52X || ▪ الالبات محلولة د.نائلة || https://drive.google.com/file/d/1ATrRCeT_PspwCctpoYvP9zgzvqrPvlAV/view?usp || =drivesdk || ▪ درايف 23 || https://drive.google.com/drive/folders/1-DMOnGJCtUoAmjq_jVD5IV8H8hesBlAk || ▪ درايف 22 || https://drive.google.com/drive/folders/10fGkLPvxx67lh7hgicU3TmxgrBYu9obP
PHYS-202,,▪ د.محمد آل فرحة || https://youtu.be/Lu6PGpDth3U?si=LaWvXacKL5YW--eW || ▪ قناة تليجرام شروحات + اسئلة || https://t.me/+wOeIrLDynEdjMjM0 || ▪ شرح التجارب || https://t.me/+f-5MCy9T9F41MThk || ▪ طريقة مذاكرة العملي || https://docs.google.com/document/d/1zWUR4puArlGwv6TYiJNR0GWTsqzhCCi || O/edit?usp=drivesdk&ouid=115375976241553319961&rtpof=true&sd=true || ▪ درايف || https://drive.google.com/drive/folders/1nQjBQp2UTblCTFee84IkQ44fcZJYtBNk || ▪ درايف 23 || https://drive.google.com/drive/folders/1-hVJRxOG09n8k2ikQojlB7YnohqF4e3A || ▪ درايف العلوم || https://drive.google.com/drive/folders/1gyDzRZrPcc4xXGsZjDyLajrBYdO_z_Ot || ▪ درايف العلوم طالب || https://drive.google.com/drive/folders/1gyDzRZrPcc4xXGsZjDyLajrBYdO_z_Ot
BIO-202,,▪ قناة ليندا عملي || https://t.me/+6ipyXfEfn6s3NzE8 || ▪ قناة ليندا نظري || https://t.me/+cuPLyJedoXBhNWY0
